Unnamed: 0,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
6678,15064,Piso en venta en avenida de Portugal,"Puerta del Ángel, Madrid",107.0,105.0,3,2.0,,,,,Avenida de Portugal,True,Avenida de Portugal,,,6.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,1574,,False,459000,4290,True,HouseType 1: Pisos,False,False,1970.0,False,True,,True,True,True,True,,,True,True,,,,True,,D,False,,,,,False,True,False,False
6681,15061,"Piso en venta en HOYOS DE PINARES, 1","Campamento, Madrid",95.0,,3,2.0,,,,,"HOYOS DE PINARES, 1",False,HOYOS DE PINARES,1,,3.0,False,,Neighborhood 68: Campamento (2275.63 €/m2) - District 10: Latina,sale,1038,,False,240000,2526,True,HouseType 1: Pisos,True,False,1978.0,False,True,,True,,True,True,,,,True,,,,True,,en trámite,False,,,,,,,,
6686,15056,Ático en venta en calle Abejuela,"Aluche, Madrid",135.0,117.0,3,2.0,,,,,Calle Abejuela,True,Calle Abejuela,,,2.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,1148,,False,280000,2074,True,HouseType 5: Áticos,False,False,1998.0,False,True,,True,True,False,True,,,True,,True,,,,,en trámite,False,,,,,False,False,True,False
6689,15053,Piso en venta en calle almazan,"Lucero, Madrid",80.0,79.0,2,2.0,,,,,Calle almazan,True,Calle almazan,,,1.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,1108,,False,265000,3312,True,HouseType 1: Pisos,False,False,2006.0,False,True,,True,True,True,True,,True,,,,,,True,True,D,False,,,,,,,,
6690,15052,Piso en venta en avenida del Manzanares,"Los Cármenes, Madrid",82.0,78.0,3,1.0,,,,,Avenida del Manzanares,True,Avenida del Manzanares,,,2.0,False,,Neighborhood 71: Los Cármenes (2458.61 €/m2) - District 10: Latina,sale,1119,,False,269000,3280,True,HouseType 1: Pisos,False,False,1959.0,False,True,,True,True,True,True,,,,,,,,True,,E,False,,,,,,,,
6691,15051,Piso en venta en avenida del Manzanares,"Los Cármenes, Madrid",140.0,130.0,4,2.0,,,,,Avenida del Manzanares,True,Avenida del Manzanares,,,1.0,False,,Neighborhood 71: Los Cármenes (2458.61 €/m2) - District 10: Latina,sale,1530,,False,440000,3143,True,HouseType 1: Pisos,False,False,1969.0,False,True,,,True,True,True,,,True,,,,,True,,en trámite,False,,,,,,,,
6696,15046,Piso en venta en calle de Ocaña,"Aluche, Madrid",86.0,76.0,3,1.0,,,,,Calle de Ocaña,True,Calle de Ocaña,,,5.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,662,,False,129000,1500,True,HouseType 1: Pisos,False,False,1967.0,False,True,,,True,False,True,,,True,,,,,,,en trámite,False,,,,,False,True,True,True
6697,15045,Piso en venta en calle de Camarena,"Aluche, Madrid",78.0,68.0,4,1.0,,,,,Calle de Camarena,True,Calle de Camarena,,,4.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,762,,False,155000,1987,True,HouseType 1: Pisos,False,False,1968.0,False,True,,True,True,False,,,,True,,,,,,True,D,False,,,,,True,False,False,True
6701,15041,"Piso en venta en paseo de Extremadura, 300","Aluche, Madrid",97.0,91.0,3,1.0,,,,,"Paseo de Extremadura, 300",False,Paseo de Extremadura,300,,1.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,878,,False,188000,1938,True,HouseType 1: Pisos,False,False,1966.0,,,,,,True,True,,,,,,,,,,D,False,,,,,True,False,False,False
6703,15039,Piso en venta en calle los Yébenes,"Aluche, Madrid",65.0,55.0,2,1.0,,,,,Calle los Yébenes,True,Calle los Yébenes,,,2.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,666,,False,130000,2000,True,HouseType 1: Pisos,False,,1965.0,False,True,,,,False,True,,,True,,,,,,,en trámite,False,,,,,False,False,False,True
6704,15038,Piso en venta en calle de Cebreros,"Lucero, Madrid",102.0,82.0,3,2.0,,,,,Calle de Cebreros,True,Calle de Cebreros,,,3.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,1108,,False,265000,2598,True,HouseType 1: Pisos,False,False,1980.0,False,True,,True,True,True,True,,,True,,,,,True,True,D,False,,,,,False,True,True,False
6705,15037,Piso en venta en Aluche,"Latina, Madrid",66.0,,2,1.0,,,,,,True,,,,8.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,939,,False,207000,3136,True,HouseType 1: Pisos,False,False,1970.0,False,True,,True,True,True,True,,,,,,,,,,D,False,,,,,False,True,True,False
